Item Name,Ideal_Meal_Time,Appetite_Role,Texture,Cost,Veg/Non-Veg,Allergies,Serving Size (Child),Calories (kcal),Protein (g),Fat (g),Calcium (mg),Sodium (mg),Health_Benefit
Buffalo Curd (Plain),Lunch;Dinner,Calorie Boost,Creamy,Med,Veg,Dairy,0.25 cup,60,3.0,4.5,120,30,Probiotics; Bone Health
Curd with Kithul Treacle,Snack;Dinner,Weight Gain,Smooth/Liquid,Med,Veg,Dairy,0.25 cup,95,3.0,4.5,120,35,Energy; Healthy Gut
Set Yogurt (Natural),Breakfast;Snack,Easy Snack,Smooth,Med,Veg,Dairy,1 cup (80g),75,4.0,3.5,140,40,Calcium; Digestion
Drinking Yogurt (Bottle),Snack;Lunchbox,Hydration,Liquid,Med,Veg,Dairy,1 bottle,120,5.0,4.0,160,50,Quick Energy
Cheddar Cheese Cube,Snack;Lunchbox,Protein Boost,Firm,High,Veg,Dairy,20g cube,80,5.0,6.5,150,130,Teeth & Bone Growth
Cheese Spread (Plain),Breakfast;Snack,Palatability,Creamy,High,Veg,Dairy,1 tbsp,50,2.5,4.0,90,120,Easy to eat with bread
Paneer Cubes (Fresh),Lunch;Dinner,Protein Boost,Soft/Firm,High,Veg,Dairy,0.25 cup,120,7.0,9.0,180,15,Muscle Development
Fried Paneer (Slightly Salted),Lunch;Snack,Weight Gain,Chewy/Firm,High,Veg,Dairy,0.25 cup,160,7.5,13.0,180,60,High Calorie (Low BMI fix)
Full Cream Milk (Fresh),Breakfast;Dinner,Growth,Liquid,Low,Veg,Dairy,1 cup (150ml),100,5.0,5.5,180,60,Total Development
Ghee (Cow Ghee),Breakfast;Lunch,Weight Gain,Oily,High,Veg,Dairy,1 tsp,45,0.0,5.0,1,0,Brain Fats; High Calorie
Unsalted Butter,Breakfast;Lunch,Weight Gain,Creamy,Med,Veg,Dairy,1 tsp,35,0.1,4.0,1,0,Calorie stacking
Margarine (Fortified),Breakfast;Lunch,Energy,Creamy,Low,Veg,None,1 tsp,35,0.0,4.0,0,30,Vitamin A & D added
Papadam (Fried),Lunch;Dinner,Appetite Stimulant,Crunchy,Low,Veg,Gluten,2 small pieces,65,1.5,4.0,10,120,Encourages chewing
Mini Papadam Bowls,Snack;Lunchbox,Fun Factor,Crunchy,Low,Veg,Gluten,5 pieces,80,2.0,5.0,15,140,Finger food appeal
Fried Sprats (Whitebait),Lunch;Dinner,Calcium Boost,Crunchy,Low,Non-Veg,Fish,1 tbsp,90,10.0,5.0,220,90,Extreme Calcium
Fried Sprats (Powdered),Lunch;Dinner,Hidden Nutrients,Gritty,Low,Non-Veg,Fish,1 tsp,30,3.5,1.5,70,30,Invisible nutrition
Crispy Fried Anchovies,Snack;Lunchbox,Protein Crunch,Crunchy,Low,Non-Veg,Fish,1 tbsp,85,9.0,4.5,180,85,Healthy Snack
Fried Cashew Nuts (Plain),Snack;Tea Time,Brain Fats,Crunchy/Firm,High,Veg,Nuts,5 nuts,110,3.5,9.0,15,5,Omega-3 & Energy
Cashew Nut Paste,Breakfast;Snack,Easy Fat,Smooth,High,Veg,Nuts,1 tbsp,95,3.0,8.0,12,2,Safe for 2yo (No Choking)
Peanut Butter (Natural),Breakfast;Snack,Weight Gain,Creamy,Med,Veg,Nuts,1 tbsp,95,4.0,8.0,10,5,High Energy Density
Peanuts (Boiled),Snack;Tea Time,Protein,Soft/Chewy,Low,Veg,Nuts,0.25 cup,140,6.0,11.0,25,5,Affordable Protein
