Item Name,Ideal_Meal_Time,Spice_Level,Cost,Veg/Non-Veg,Allergies,Bone_Status,Pairing_Tag,Serving Size (Child),Calories (kcal),Protein (g),Carbs (g),Fat (g),Health_Benefit
Creamy Dhal (Parippu Kirata),Breakfast;Lunch;Dinner,Mild,Low,Veg,None,NA,Rice;Bread;String Hoppers,0.5 cup,140,8,18,4,Easy Digestion
Tempered Dhal (Badum),Lunch;Dinner,Mild,Low,Veg,None,NA,Rice;Roti,0.5 cup,160,8,16,7,High Energy
Dhal with Spinach,Lunch;Dinner,Mild,Low,Veg,None,NA,Rice;Bread,0.5 cup,130,9,15,3.5,High Iron
Chicken White Curry (Kiri Kukul Mas),Lunch;Dinner,Mild,Med,Non-Veg,None,Bone-in,Rice;String Hoppers,1 small piece+gravy,150,14,3,9,Muscle Growth
Chicken Stew (Clear Broth),Lunch;Dinner,None,Med,Non-Veg,None,Bone-in,Bread;Rice,0.5 cup,120,12,5,5,Flu Recovery
Shredded Chicken Breast,Lunch;Dinner,None,Med,Non-Veg,None,Boneless,Noodles;Pasta,0.5 cup,110,18,0,3,Lean Protein
Chicken Meatballs (Home-made),Lunch;Dinner;Snack,Mild,Med,Non-Veg,Gluten,Boneless,Pasta;Rice,3 small balls,160,15,8,7,Picky Eater Friendly
Pan-Fried Chicken Pieces,Lunch;Dinner,Mild,Med,Non-Veg,None,Boneless,Rice;Roti,2 small pieces,180,16,1,12,Calorie Boost
Chicken Liver Curry,Lunch,Medium,Low,Non-Veg,None,Boneless,Rice,0.5 cup,140,12,4,8,Anemia Prevention
Minced Chicken Curry,Lunch;Dinner,Mild,Med,Non-Veg,None,Boneless,Bread;Pasta,0.5 cup,150,15,2,9,Easy to Chew
Chicken Sausage (Fried),Breakfast;Snack,Mild,Med,Non-Veg,None,Boneless,Bread;Noodles,1 sausage,130,7,2,10,Appetite Stimulant
White Fish Curry (Kiri Malu),Lunch;Dinner,Mild,Med,Non-Veg,Fish,Bone-in,Rice;String Hoppers,1 piece+gravy,130,12,2,8,Brain Development
Fish Ambul Thiyal (Dry),Lunch;Dinner,Mild,Med,Non-Veg,Fish,Bone-in,Rice;Milk Rice,1 small piece,110,14,1,5,Long Shelf Life
Fried Fish (Thalapath/Seer),Lunch;Dinner,Mild,High,Non-Veg,Fish,Bone-in,Rice,1 small piece,170,15,0,11,Weight Gain
Steamed Whitebait (Halmassa),Breakfast;Lunch,None,Low,Non-Veg,Fish,Boneless,Rice;Congee,0.5 cup,90,10,0,5,Calcium Boost
Fried Sprats (Crunchy),Lunch;Dinner,Mild,Low,Non-Veg,Fish,Boneless,Rice,1 tbsp,80,9,0,5,Bone Density
