Item Name,Ideal_Meal_Time,State/Texture,Cost,Veg/Non-Veg,Allergies,Pairing_Tag,Serving Size (Child),Calories (kcal),Carbs (g),Protein (g),Fat (g),Fiber (g),Health_Benefit,Base_Type_Tag
White Rice (Samba),Lunch;Dinner,Soft Grainy,Med,Veg,,Curries;Dhal;Meat,0.5 cup (100g),130,28,2.5,0.2,0.5,Easy Digestion,Rice
Red Rice (Kekulu),Lunch;Dinner,Soft Grainy,Low,Veg,,Curries;Dhal;Greens,0.5 cup (100g),140,29,3.0,0.5,2.0,High Fiber; Iron,Rice
Keeri Samba Rice,Lunch;Dinner,Soft Fluffy,High,Veg,,Rich Curries;Meat,0.5 cup (100g),135,28,2.5,0.3,0.5,High Energy,Rice
Kalu Heenati (Red Rice),Lunch;Dinner,Chewy Grainy,High,Veg,,Mild Curries;Vegetables,0.5 cup (100g),145,30,3.5,1.0,2.5,Immunity Boost,Rice
Suwandel Rice,Lunch;Dinner,Soft Fragrant,High,Veg,,Mild Curries;Meat,0.5 cup (100g),135,28,2.8,0.5,0.8,Appetite Stimulant,Rice
Basmati Rice,Lunch;Dinner,Loose Grainy,High,Veg,,Yellow Rice;Meat Curries,0.5 cup (100g),125,28,2.5,0.3,0.6,Low Glycemic,Rice
Milk Rice (Kiribath),Breakfast,Sticky Creamy,Med,Veg,Dairy,Lunu Miris (Mild);Banana,2 squares (80g),180,25,3.0,7.0,0.5,High Calorie (Weight Gain),MilkRice
Green Gram Milk Rice,Breakfast,Sticky Chunky,Med,Veg,Dairy,Banana;Jaggery,2 squares (80g),210,30,6.0,7.5,2.0,High Protein Energy,MilkRice
Yellow Rice (Kaha Bath),Lunch;Dinner,Soft Flavored,Med,Veg,,Meat;Potato Curry,0.5 cup (100g),150,28,2.5,3.0,0.6,Appealing Color/Flavor,Rice
Ghee Rice,Lunch;Dinner,Soft Oily,High,Veg,Dairy,Meat Curries;Peas,0.5 cup (100g),185,28,2.5,7.0,0.5,High Fat (Weight Gain),Rice
Veg Fried Rice (Home),Lunch;Dinner,Loose Grainy,Med,Veg,Soy,Soya Meat;Chicken,0.5 cup (100g),160,25,3.0,5.0,1.5,Hidden Veggies,Rice
White String Hoppers,Breakfast;Dinner,Soft Stringy,Low,Veg,,Kiri Hodi;Potato;Meat,4 pieces,120,26,2.0,0.2,0.8,Fun Texture,StringHopper
Red String Hoppers,Breakfast;Dinner,Soft Stringy,Low,Veg,,Dhal;Kiri Hodi;Coconut,4 pieces,130,27,2.5,0.4,2.5,Fiber for Constipation,StringHopper
Kurakkan String Hoppers,Breakfast;Dinner,Chewy Stringy,Med,Veg,,Kiri Hodi;Mild Fish,4 pieces,125,25,3.0,0.5,3.0,Calcium for Bones,StringHopper
Plain Hopper (Appa),Breakfast;Dinner,Crispy Edges/Soft Center,Low,Veg,,Lunu Miris;Banana;Kiri Hodi,1 piece,80,16,2.0,0.5,0.5,Interactive Eating,Hopper
