Item Name,Ideal_Meal_Time,Sugar_Level,Vitamin_Focus,Choking_Risk,Cost,Veg/Non-Veg,Allergies,Serving Size (Child),Calories (kcal),Carbs (g),Fiber (g),Potassium (mg),Health_Benefit
Ambul Banana,Breakfast;Snack,Natural,B6;C,Low,Low,Veg,None,1 small,90,23,2.6,360,Easy Digestion; Potassium
Anamalu Banana,Breakfast;Snack,Natural,Potassium,Low,Low,Veg,None,1 small,105,27,3.1,420,Energy Boost
Kolikuttu Banana,Breakfast;Snack,Natural,B6,Low,High,Veg,None,1 small,110,28,2.5,400,Brain Development
Seeni Banana,Breakfast;Snack,Natural,C,Low,Low,Veg,None,2 small,100,25,3.0,380,Traditional Growth
Ripe Papaya Cubes,Lunch;Snack,Natural,A;C,Low,Low,Veg,None,0.5 cup,60,15,2.5,280,Natural Laxative (Constipation)
Ripe Mango (Slices),Snack,Natural,A;C,Low,High,Veg,None,0.5 cup,75,19,2.0,250,Vision & Immunity
Watermelon Wedges,Snack;Tea Time,Natural,A;C,Low,Low,Veg,None,1 wedge,45,11,0.6,170,Hydration (Fever/Heat)
Woodapple Pulp (Plain),Snack,Natural,C,Low,Low,Veg,None,0.25 cup,70,18,5.5,150,Immunity; Gut Health
Woodapple with Jaggery,Snack,High,C;Iron,Low,Low,Veg,None,0.25 cup,110,25,5.5,180,Energy & Iron
Avocado Mash (Plain),Snack,Natural,E;K,Low,Med,Veg,None,0.25 cup,120,6,6.5,450,Weight Gain (Healthy Fats)
Avocado with Honey,Snack,High,E,Low,Med,Veg,None,0.25 cup,150,15,6.5,460,High Calorie Density
Guava (Seedless),Snack,Natural,C,Med,Low,Veg,None,0.5 cup,50,11,7.0,220,Highest Vitamin C
Pineapple Tidbits,Snack,Natural,C,Low,Med,Veg,None,0.25 cup,40,10,1.2,110,Digestive Enzymes
Passion Fruit Juice,Snack,Natural,A;C,Low,Low,Veg,None,0.5 cup,60,14,0.5,190,Cooling/Relaxing
Soursop (Anoda) Pulp,Snack,Natural,C;B,Low,Med,Veg,None,0.25 cup,65,16,3.0,250,Sleep & Immunity
Custard Apple (Weli Anoda),Snack,Natural,C;B6,High (Seeds),Med,Veg,None,0.25 cup,85,22,3.5,220,High Energy Fruit
Jackfruit (Ripe Waraka),Snack,High,A,Low,Low,Veg,None,2 segments,90,23,2.0,300,Sweet Fiber
Durian (Small Taste),Snack,High,B;C,Low,High,Veg,None,1 small piece,110,20,2.5,350,Energy & Weight Gain
Rambutan (Pitted),Snack,Natural,C,High (Seed),Med,Veg,None,3 pieces,50,13,0.8,50,Vitamin C
Mangosteen segments,Snack,Natural,Antioxidants,High (Seed),High,Veg,None,3 pieces,45,12,1.5,40,Anti-inflammatory
Beli (Bael) Fruit,Snack,Natural,C;B,Low,Low,Veg,None,2 tbsp,60,15,4.0,200,Traditional Gut Healer
Nelli (Amla) Juice,Snack,Natural,C,Low,Low,Veg,None,2 tbsp,15,4,1.0,60,Immune Shield
Jambu (Wax Apple),Snack,Natural,C,Low,Low,Veg,None,2 fruits,30,8,1.2,120,Low Calorie Hydration
Lovi-Lovi,Snack,Natural,C,Low,Low,Veg,None,3 fruits,25,6,1.0,80,Vitamin C
Veralu (Ceylon Olive),Snack,Natural,Antioxidants,High (Seed),Low,Veg,None,2 fruits,40,9,2.5,110,Healthy Skin
Pomegranate Seeds,Snack,Natural,K;C,High (Choking),High,Veg,None,2 tbsp,40,9,2.0,110,Blood Health (Iron absorb)
